,model,prompt,Mutation,Code Difference
0,gpt-3.5-turbo,prompt1,2,1.0
1,gpt-3.5-turbo,prompt1,2,0.10499537465309898
2,gpt-3.5-turbo,prompt1,2,0.6692111959287532
3,gpt-3.5-turbo,prompt1,2,0.2066420664206642
4,gpt-3.5-turbo,prompt1,2,0.07108549471661864
5,gpt-3.5-turbo,prompt1,2,0.14304694419840566
6,gpt-3.5-turbo,prompt1,2,0.22661870503597123
7,gpt-3.5-turbo,prompt1,2,0.2490170380078637
8,gpt-3.5-turbo,prompt1,2,0.5028396679772826
9,gpt-3.5-turbo,prompt1,2,1.6081258191349934
10,gpt-3.5-turbo,prompt1,2,0.2841007819287576
11,gpt-3.5-turbo,prompt1,2,0.06398687448728466
12,gpt-3.5-turbo,prompt1,2,0.16752843846949328
13,gpt-3.5-turbo,prompt1,2,0.1430579964850615
14,gpt-3.5-turbo,prompt1,2,0.04881050041017227
15,gpt-3.5-turbo,prompt1,2,0.3296398891966759
16,gpt-3.5-turbo,prompt1,2,0.13326149425287356
17,gpt-3.5-turbo,prompt1,2,0.050980392156862744
18,gpt-3.5-turbo,prompt1,2,0.13082761113118901
19,gpt-3.5-turbo,prompt1,2,0.13440860215053763
20,gpt-3.5-turbo,prompt1,2,0.1259500542888165
21,gpt-3.5-turbo,prompt1,2,0.22637292464878672
22,gpt-3.5-turbo,prompt1,2,0.7988505747126436
23,gpt-3.5-turbo,prompt1,2,0.06804281345565749
24,gpt-3.5-turbo,prompt1,2,0.1627143378329077
25,gpt-3.5-turbo,prompt1,2,0.8802296964725185
26,gpt-3.5-turbo,prompt1,2,0.09751203852327447
27,gpt-3.5-turbo,prompt1,2,0.09263754045307443
28,gpt-3.5-turbo,prompt1,2,1.0
29,gpt-3.5-turbo,prompt1,2,1.5935251798561152
30,gpt-3.5-turbo,prompt1,2,0.12492492492492492
31,gpt-3.5-turbo,prompt1,2,0.31574279379157427
32,gpt-3.5-turbo,prompt1,2,0.11104815864022663
33,gpt-3.5-turbo,prompt1,2,0.005
34,gpt-3.5-turbo,prompt1,2,0.11946902654867257
35,gpt-3.5-turbo,prompt1,2,0.04384384384384384
36,gpt-3.5-turbo,prompt1,2,0.010565568676196395
37,gpt-3.5-turbo,prompt1,2,0.1975806451612903
38,gpt-3.5-turbo,prompt1,2,0.19011213047910297
39,gpt-3.5-turbo,prompt1,2,0.19157678479712378
40,gpt-3.5-turbo,prompt1,2,0.09287749287749288
41,gpt-3.5-turbo,prompt1,2,0.20735785953177258
42,gpt-3.5-turbo,prompt1,2,0.5642618251313903
43,gpt-3.5-turbo,prompt1,2,0.02958876629889669
44,gpt-3.5-turbo,prompt1,2,0.16504356740133266
45,gpt-3.5-turbo,prompt1,2,0.03654320987654321
46,gpt-3.5-turbo,prompt1,2,0.15925766076823478
47,gpt-3.5-turbo,prompt1,2,0.0272879932829555
48,gpt-3.5-turbo,prompt1,2,0.2099264705882353
49,gpt-3.5-turbo,prompt1,2,0.276665304454434
50,gpt-3.5-turbo,prompt1,2,0.15261685976827807
51,gpt-3.5-turbo,prompt1,2,0.22715501294857565
52,gpt-3.5-turbo,prompt1,2,0.03223239156386789
53,gpt-3.5-turbo,prompt1,2,0.08454919566030678
54,gpt-3.5-turbo,prompt1,2,0.5557776889244302
55,gpt-3.5-turbo,prompt1,2,0.05702970297029703
56,gpt-3.5-turbo,prompt1,2,0.021991203518592562
57,gpt-3.5-turbo,prompt1,2,0.04972804972804973
58,gpt-3.5-turbo,prompt1,2,0.03955223880597015
59,gpt-3.5-turbo,prompt1,2,0.15975184179914695
60,gpt-3.5-turbo,prompt1,2,0.17443667443667443
61,gpt-3.5-turbo,prompt1,2,1.141004862236629
62,gpt-3.5-turbo,prompt1,2,0.28144654088050314
63,gpt-3.5-turbo,prompt1,2,0.5643964935940661
64,gpt-3.5-turbo,prompt1,2,0.2073170731707317
65,gpt-3.5-turbo,prompt1,2,0.3934934159566228
66,gpt-3.5-turbo,prompt1,2,0.7381107491856678
67,gpt-3.5-turbo,prompt1,2,1.4927066450567261
68,gpt-3.5-turbo,prompt1,2,0.3822861468584406
69,gpt-3.5-turbo,prompt1,2,0.5078929306794784
70,gpt-3.5-turbo,prompt1,2,0.5543071161048689
71,gpt-3.5-turbo,prompt1,2,1.022115959354453
72,gpt-3.5-turbo,prompt1,2,0.5738786279683378
73,gpt-3.5-turbo,prompt1,2,0.4590294351630867
74,gpt-3.5-turbo,prompt1,2,0.7420844327176781
75,gpt-3.5-turbo,prompt1,2,0.3381191672648959
76,gpt-3.5-turbo,prompt1,2,0.7860615883306321
77,gpt-3.5-turbo,prompt1,2,1.4708265802269043
78,gpt-3.5-turbo,prompt1,2,0.36508951406649615
79,gpt-3.5-turbo,prompt1,2,0.5545641729581332
80,gpt-3.5-turbo,prompt1,2,0.438125
81,gpt-3.5-turbo,prompt1,2,0.8209076175040518
82,gpt-3.5-turbo,prompt1,2,1.5218800648298216
83,gpt-3.5-turbo,prompt1,2,0.6936647955092221
84,gpt-3.5-turbo,prompt1,2,0.5134328358208955
85,gpt-3.5-turbo,prompt1,2,0.5367530407191962
86,gpt-3.5-turbo,prompt1,2,0.06173725771715721
87,gpt-3.5-turbo,prompt1,2,0.15739570164348926
88,gpt-3.5-turbo,prompt1,2,0.13881328252585737
89,gpt-3.5-turbo,prompt1,5,1.0
90,gpt-3.5-turbo,prompt1,5,0.32790224032586557
91,gpt-3.5-turbo,prompt1,5,0.15057915057915058
